timestamp,rain,snow,traffic_volume
2023-01-01 00:00:00,0,0,1330
2023-01-01 00:30:00,1,0,2420
2023-01-01 01:00:00,0,0,554
2023-01-01 01:30:00,0,0,1299
2023-01-01 02:00:00,0,0,1277
2023-01-01 02:30:00,0,0,1981
2023-01-01 03:00:00,0,0,2401
2023-01-01 03:30:00,1,0,2709
2023-01-01 04:00:00,0,1,2634
2023-01-01 04:30:00,0,0,554
2023-01-01 05:00:00,0,0,2323
2023-01-01 05:30:00,1,0,1701
2023-01-01 06:00:00,1,1,1332
2023-01-01 06:30:00,0,1,812
2023-01-01 07:00:00,0,0,2358
2023-01-01 07:30:00,0,0,2507
2023-01-01 08:00:00,0,0,2506
2023-01-01 08:30:00,0,0,2990
2023-01-01 09:00:00,0,0,2290
2023-01-01 09:30:00,0,0,827
2023-01-01 10:00:00,0,1,1787
2023-01-01 10:30:00,0,0,2643
2023-01-01 11:00:00,0,0,1611
2023-01-01 11:30:00,0,0,1811
2023-01-01 12:00:00,0,0,951
2023-01-01 12:30:00,0,0,2023
2023-01-01 13:00:00,0,0,664
2023-01-01 13:30:00,0,0,681
2023-01-01 14:00:00,0,0,1409
2023-01-01 14:30:00,0,0,1322
2023-01-01 15:00:00,0,0,1443
2023-01-01 15:30:00,0,1,2501
2023-01-01 16:00:00,0,0,2554
2023-01-01 16:30:00,1,0,829
2023-01-01 17:00:00,1,0,1274
2023-01-01 17:30:00,1,0,2698
2023-01-01 18:00:00,0,1,646
2023-01-01 18:30:00,0,0,1414
2023-01-01 19:00:00,0,1,2071
2023-01-01 19:30:00,0,0,1808
2023-01-01 20:00:00,0,0,581
2023-01-01 20:30:00,0,0,1013
2023-01-01 21:00:00,0,1,2420
2023-01-01 21:30:00,1,0,2439
2023-01-01 22:00:00,0,0,1245
2023-01-01 22:30:00,0,1,1909
2023-01-01 23:00:00,0,0,1206
2023-01-01 23:30:00,0,0,970
2023-01-02 00:00:00,0,0,895
2023-01-02 00:30:00,0,0,2055
2023-01-02 01:00:00,1,0,2808
2023-01-02 01:30:00,0,0,1304
2023-01-02 02:00:00,1,1,1433
2023-01-02 02:30:00,1,0,1779
2023-01-02 03:00:00,0,0,2257
2023-01-02 03:30:00,1,1,1404
2023-01-02 04:00:00,0,0,1576
2023-01-02 04:30:00,0,0,2390
2023-01-02 05:00:00,0,0,2023
2023-01-02 05:30:00,0,0,1887
2023-01-02 06:00:00,0,0,1803
2023-01-02 06:30:00,0,0,1092
2023-01-02 07:00:00,1,0,2606
2023-01-02 07:30:00,0,0,627
2023-01-02 08:00:00,0,0,1235
2023-01-02 08:30:00,0,1,1020
2023-01-02 09:00:00,0,1,736
2023-01-02 09:30:00,1,0,1804
2023-01-02 10:00:00,0,0,2281
2023-01-02 10:30:00,1,0,1801
2023-01-02 11:00:00,0,0,2551
2023-01-02 11:30:00,0,0,941
2023-01-02 12:00:00,0,0,2576
2023-01-02 12:30:00,1,1,1304
2023-01-02 13:00:00,0,0,574
2023-01-02 13:30:00,0,1,2675
2023-01-02 14:00:00,0,0,2589
2023-01-02 14:30:00,0,0,1879
2023-01-02 15:00:00,0,0,540
2023-01-02 15:30:00,0,1,2581
2023-01-02 16:00:00,1,0,2200
2023-01-02 16:30:00,0,0,1901
2023-01-02 17:00:00,0,0,1087
2023-01-02 17:30:00,0,0,2122
2023-01-02 18:00:00,0,0,841
2023-01-02 18:30:00,0,1,2574
2023-01-02 19:00:00,0,0,1145
2023-01-02 19:30:00,0,0,1230
2023-01-02 20:00:00,1,0,667
2023-01-02 20:30:00,0,1,1109
2023-01-02 21:00:00,0,0,2815
2023-01-02 21:30:00,0,0,2272
2023-01-02 22:00:00,0,0,2540
2023-01-02 22:30:00,0,0,954
2023-01-02 23:00:00,0,0,2208
2023-01-02 23:30:00,0,0,1201
2023-01-03 00:00:00,0,0,2099
2023-01-03 00:30:00,0,0,629
2023-01-03 01:00:00,0,1,2345
2023-01-03 01:30:00,0,1,1886
2023-01-03 02:00:00,0,0,1192
2023-01-03 02:30:00,0,0,1894
2023-01-03 03:00:00,0,1,1293
2023-01-03 03:30:00,0,0,528
2023-01-03 04:00:00,1,0,648
2023-01-03 04:30:00,0,0,1819
2023-01-03 05:00:00,0,0,2558
2023-01-03 05:30:00,0,1,1636
2023-01-03 06:00:00,0,0,686
2023-01-03 06:30:00,0,0,1750
2023-01-03 07:00:00,0,0,1833
2023-01-03 07:30:00,0,0,597
2023-01-03 08:00:00,1,0,554
2023-01-03 08:30:00,1,0,1257
2023-01-03 09:00:00,0,0,905
2023-01-03 09:30:00,1,0,2616
2023-01-03 10:00:00,1,0,1812
2023-01-03 10:30:00,0,0,2285
2023-01-03 11:00:00,1,0,1250
2023-01-03 11:30:00,0,0,2262
2023-01-03 12:00:00,1,0,864
2023-01-03 12:30:00,1,0,2526
2023-01-03 13:00:00,0,0,981
2023-01-03 13:30:00,0,0,2748
2023-01-03 14:00:00,0,0,653
2023-01-03 14:30:00,0,0,2024
2023-01-03 15:00:00,1,0,2620
2023-01-03 15:30:00,1,0,2843
2023-01-03 16:00:00,0,0,1540
2023-01-03 16:30:00,0,0,2164
2023-01-03 17:00:00,0,0,1740
2023-01-03 17:30:00,0,0,560
2023-01-03 18:00:00,0,0,1438
2023-01-03 18:30:00,0,0,2139
2023-01-03 19:00:00,1,0,2589
2023-01-03 19:30:00,0,1,524
2023-01-03 20:00:00,0,0,1562
2023-01-03 20:30:00,0,0,630
2023-01-03 21:00:00,0,0,1752
2023-01-03 21:30:00,1,0,607
2023-01-03 22:00:00,1,0,671
2023-01-03 22:30:00,0,0,1958
2023-01-03 23:00:00,0,1,601
2023-01-03 23:30:00,0,0,2822
2023-01-04 00:00:00,0,1,2136
2023-01-04 00:30:00,0,0,1540
2023-01-04 01:00:00,0,0,829
2023-01-04 01:30:00,0,0,2020
2023-01-04 02:00:00,0,1,511
2023-01-04 02:30:00,0,0,1841
2023-01-04 03:00:00,1,0,715
2023-01-04 03:30:00,0,0,838
2023-01-04 04:00:00,0,0,2299
2023-01-04 04:30:00,0,0,2250
2023-01-04 05:00:00,1,0,2008
2023-01-04 05:30:00,0,0,2921
2023-01-04 06:00:00,0,0,1209
2023-01-04 06:30:00,0,0,1723
2023-01-04 07:00:00,0,0,1612
2023-01-04 07:30:00,0,0,1791
2023-01-04 08:00:00,0,0,988
2023-01-04 08:30:00,0,0,2061
2023-01-04 09:00:00,0,0,546
2023-01-04 09:30:00,0,0,1277
2023-01-04 10:00:00,0,0,1539
2023-01-04 10:30:00,1,0,1210
2023-01-04 11:00:00,0,0,900
2023-01-04 11:30:00,0,0,2317
2023-01-04 12:00:00,0,0,749
2023-01-04 12:30:00,0,0,890
2023-01-04 13:00:00,0,0,834
2023-01-04 13:30:00,0,0,1128
2023-01-04 14:00:00,0,0,636
2023-01-04 14:30:00,0,0,2021
2023-01-04 15:00:00,0,0,1326
2023-01-04 15:30:00,0,0,1226
2023-01-04 16:00:00,0,0,2000
2023-01-04 16:30:00,0,0,1489
2023-01-04 17:00:00,1,0,2919
2023-01-04 17:30:00,0,0,1434
2023-01-04 18:00:00,0,0,901
2023-01-04 18:30:00,0,0,1966
2023-01-04 19:00:00,1,1,1114
2023-01-04 19:30:00,1,0,1796
2023-01-04 20:00:00,0,0,1682
2023-01-04 20:30:00,0,0,2735
2023-01-04 21:00:00,1,0,1621
2023-01-04 21:30:00,0,0,630
2023-01-04 22:00:00,0,0,1694
2023-01-04 22:30:00,0,0,682
2023-01-04 23:00:00,0,0,863
2023-01-04 23:30:00,1,0,538
2023-01-05 00:00:00,1,0,1872
2023-01-05 00:30:00,0,0,1420
2023-01-05 01:00:00,0,0,515
2023-01-05 01:30:00,0,0,992
2023-01-05 02:00:00,0,0,1949
2023-01-05 02:30:00,1,0,1631
2023-01-05 03:00:00,1,0,810
2023-01-05 03:30:00,0,0,1238
2023-01-05 04:00:00,0,0,1045
2023-01-05 04:30:00,0,0,2961
2023-01-05 05:00:00,0,0,750
2023-01-05 05:30:00,1,0,1258
2023-01-05 06:00:00,0,0,2304
2023-01-05 06:30:00,0,0,1797
2023-01-05 07:00:00,0,0,2131
2023-01-05 07:30:00,0,0,2414
2023-01-05 08:00:00,0,0,1313
2023-01-05 08:30:00,0,0,528
2023-01-05 09:00:00,0,0,1457
2023-01-05 09:30:00,0,0,2532
2023-01-05 10:00:00,0,0,976
2023-01-05 10:30:00,0,0,817
2023-01-05 11:00:00,0,0,744
2023-01-05 11:30:00,0,0,1247
2023-01-05 12:00:00,0,0,1196
2023-01-05 12:30:00,0,0,771
2023-01-05 13:00:00,0,0,2271
2023-01-05 13:30:00,1,0,1762
2023-01-05 14:00:00,0,0,2924
2023-01-05 14:30:00,0,0,765
2023-01-05 15:00:00,0,0,1420
2023-01-05 15:30:00,0,0,839
2023-01-05 16:00:00,0,0,888
2023-01-05 16:30:00,0,0,2550
2023-01-05 17:00:00,1,0,1665
2023-01-05 17:30:00,0,0,875
2023-01-05 18:00:00,1,1,2533
2023-01-05 18:30:00,0,0,2871
2023-01-05 19:00:00,0,0,645
2023-01-05 19:30:00,0,0,2481
2023-01-05 20:00:00,0,0,792
2023-01-05 20:30:00,0,0,931
2023-01-05 21:00:00,0,0,1204
2023-01-05 21:30:00,0,0,2498
2023-01-05 22:00:00,0,0,898
2023-01-05 22:30:00,0,0,1463
2023-01-05 23:00:00,0,0,2734
2023-01-05 23:30:00,0,0,2541
2023-01-06 00:00:00,1,0,2328
2023-01-06 00:30:00,1,0,2608
2023-01-06 01:00:00,1,1,1438
2023-01-06 01:30:00,0,0,1209
2023-01-06 02:00:00,0,0,1306
2023-01-06 02:30:00,1,1,1963
2023-01-06 03:00:00,0,0,1825
2023-01-06 03:30:00,1,0,510
2023-01-06 04:00:00,1,0,1585
2023-01-06 04:30:00,1,0,2368
2023-01-06 05:00:00,0,0,2773
2023-01-06 05:30:00,0,1,1271
2023-01-06 06:00:00,1,0,2094
2023-01-06 06:30:00,0,0,2107
2023-01-06 07:00:00,0,0,1833
2023-01-06 07:30:00,0,0,1384
2023-01-06 08:00:00,1,0,1889
2023-01-06 08:30:00,0,0,725
2023-01-06 09:00:00,0,0,1324
2023-01-06 09:30:00,0,0,2765
2023-01-06 10:00:00,0,0,1436
2023-01-06 10:30:00,1,0,2806
2023-01-06 11:00:00,0,0,2411
2023-01-06 11:30:00,0,0,2296
2023-01-06 12:00:00,1,0,553
2023-01-06 12:30:00,0,0,1226
2023-01-06 13:00:00,0,0,2044
2023-01-06 13:30:00,0,0,1543
2023-01-06 14:00:00,0,0,2413
2023-01-06 14:30:00,0,0,2276
2023-01-06 15:00:00,1,0,2096
2023-01-06 15:30:00,1,0,2414
2023-01-06 16:00:00,1,1,2966
2023-01-06 16:30:00,1,0,1349
2023-01-06 17:00:00,0,0,2609
2023-01-06 17:30:00,0,0,2763
2023-01-06 18:00:00,0,0,502
2023-01-06 18:30:00,0,0,659
2023-01-06 19:00:00,0,0,1280
2023-01-06 19:30:00,0,0,1392
2023-01-06 20:00:00,1,0,2530
2023-01-06 20:30:00,0,0,2876
2023-01-06 21:00:00,0,1,1079
2023-01-06 21:30:00,0,0,2433
2023-01-06 22:00:00,0,1,1880
2023-01-06 22:30:00,0,0,1790
2023-01-06 23:00:00,0,0,2140
2023-01-06 23:30:00,0,1,1451
2023-01-07 00:00:00,0,0,1487
2023-01-07 00:30:00,0,0,1718
2023-01-07 01:00:00,0,0,1420
2023-01-07 01:30:00,0,0,1855
2023-01-07 02:00:00,1,0,669
2023-01-07 02:30:00,0,0,1020
2023-01-07 03:00:00,0,0,1986
2023-01-07 03:30:00,0,0,539
2023-01-07 04:00:00,0,0,2060
2023-01-07 04:30:00,0,0,1918
2023-01-07 05:00:00,0,0,1454
2023-01-07 05:30:00,0,0,1483
2023-01-07 06:00:00,0,0,1474
2023-01-07 06:30:00,0,0,537
2023-01-07 07:00:00,0,0,2875
2023-01-07 07:30:00,0,0,1774
2023-01-07 08:00:00,0,0,1699
2023-01-07 08:30:00,1,0,2125
2023-01-07 09:00:00,0,0,1413
2023-01-07 09:30:00,0,0,953
2023-01-07 10:00:00,0,0,536
2023-01-07 10:30:00,0,0,2211
2023-01-07 11:00:00,0,0,1295
2023-01-07 11:30:00,0,0,1472
2023-01-07 12:00:00,0,0,1092
2023-01-07 12:30:00,1,0,1637
2023-01-07 13:00:00,1,0,1824
2023-01-07 13:30:00,0,1,2771
2023-01-07 14:00:00,0,0,817
2023-01-07 14:30:00,0,0,2896
2023-01-07 15:00:00,0,1,2662
2023-01-07 15:30:00,0,0,1846
2023-01-07 16:00:00,0,0,2091
2023-01-07 16:30:00,0,0,2389
2023-01-07 17:00:00,0,0,2587
2023-01-07 17:30:00,0,0,2496
2023-01-07 18:00:00,1,0,2272
2023-01-07 18:30:00,0,0,1812
2023-01-07 19:00:00,0,0,1785
2023-01-07 19:30:00,0,0,715
2023-01-07 20:00:00,0,0,2883
2023-01-07 20:30:00,0,0,2639
2023-01-07 21:00:00,0,0,2900
2023-01-07 21:30:00,0,0,2204
2023-01-07 22:00:00,0,0,862
2023-01-07 22:30:00,0,0,2216
2023-01-07 23:00:00,0,0,1693
2023-01-07 23:30:00,0,0,855
2023-01-08 00:00:00,1,0,690
2023-01-08 00:30:00,0,0,2969
2023-01-08 01:00:00,0,0,1199
2023-01-08 01:30:00,0,0,2554
2023-01-08 02:00:00,0,0,2680
2023-01-08 02:30:00,0,0,1056
2023-01-08 03:00:00,0,0,1325
2023-01-08 03:30:00,0,0,1554
2023-01-08 04:00:00,0,0,925
2023-01-08 04:30:00,0,0,2910
2023-01-08 05:00:00,0,0,2074
2023-01-08 05:30:00,0,0,2629
2023-01-08 06:00:00,0,0,2903
2023-01-08 06:30:00,0,0,1088
2023-01-08 07:00:00,0,0,2512
2023-01-08 07:30:00,1,0,2047
2023-01-08 08:00:00,0,1,794
2023-01-08 08:30:00,0,0,2485
2023-01-08 09:00:00,0,0,1747
2023-01-08 09:30:00,0,0,2048
2023-01-08 10:00:00,0,1,2190
2023-01-08 10:30:00,0,0,1636
2023-01-08 11:00:00,1,0,1756
2023-01-08 11:30:00,0,0,2564
2023-01-08 12:00:00,0,0,859
2023-01-08 12:30:00,0,0,1199
2023-01-08 13:00:00,0,0,947
2023-01-08 13:30:00,0,1,2912
2023-01-08 14:00:00,1,0,1174
2023-01-08 14:30:00,0,0,1507
2023-01-08 15:00:00,1,1,1849
2023-01-08 15:30:00,1,0,2961
2023-01-08 16:00:00,0,0,1085
2023-01-08 16:30:00,0,0,1756
2023-01-08 17:00:00,0,0,1747
2023-01-08 17:30:00,0,0,1493
2023-01-08 18:00:00,0,0,1935
2023-01-08 18:30:00,0,1,1071
2023-01-08 19:00:00,0,1,2882
2023-01-08 19:30:00,0,0,1745
2023-01-08 20:00:00,1,0,2584
2023-01-08 20:30:00,0,1,1488
2023-01-08 21:00:00,1,0,777
2023-01-08 21:30:00,0,0,1719
2023-01-08 22:00:00,0,1,2387
2023-01-08 22:30:00,0,0,983
2023-01-08 23:00:00,0,0,1765
2023-01-08 23:30:00,1,0,1230
2023-01-09 00:00:00,0,0,2739
2023-01-09 00:30:00,1,0,1540
2023-01-09 01:00:00,0,0,1417
2023-01-09 01:30:00,0,0,2948
2023-01-09 02:00:00,0,0,1385
2023-01-09 02:30:00,1,0,521
2023-01-09 03:00:00,1,0,973
2023-01-09 03:30:00,0,0,2757
2023-01-09 04:00:00,0,1,2853
2023-01-09 04:30:00,0,0,1203
2023-01-09 05:00:00,0,0,1186
2023-01-09 05:30:00,1,0,784
2023-01-09 06:00:00,1,0,1215
2023-01-09 06:30:00,0,0,1262
2023-01-09 07:00:00,0,0,1750
2023-01-09 07:30:00,0,0,1447
2023-01-09 08:00:00,0,0,2928
2023-01-09 08:30:00,1,0,1530
2023-01-09 09:00:00,0,0,528
2023-01-09 09:30:00,1,1,1406
2023-01-09 10:00:00,0,0,2626
2023-01-09 10:30:00,1,0,1069
2023-01-09 11:00:00,0,0,2506
2023-01-09 11:30:00,0,0,1953
2023-01-09 12:00:00,1,0,1237
2023-01-09 12:30:00,0,0,1015
2023-01-09 13:00:00,0,1,2500
2023-01-09 13:30:00,1,0,2944
2023-01-09 14:00:00,1,0,538
2023-01-09 14:30:00,0,0,1386
2023-01-09 15:00:00,0,1,2704
2023-01-09 15:30:00,0,0,1598
2023-01-09 16:00:00,0,0,2323
2023-01-09 16:30:00,0,0,2210
2023-01-09 17:00:00,0,0,1473
2023-01-09 17:30:00,0,0,2062
2023-01-09 18:00:00,0,0,1488
2023-01-09 18:30:00,0,0,520
2023-01-09 19:00:00,0,0,2850
2023-01-09 19:30:00,0,0,1368
2023-01-09 20:00:00,0,0,583
2023-01-09 20:30:00,0,0,2182
2023-01-09 21:00:00,0,0,2476
2023-01-09 21:30:00,1,0,1910
2023-01-09 22:00:00,0,0,2030
2023-01-09 22:30:00,0,0,1069
2023-01-09 23:00:00,0,0,1433
2023-01-09 23:30:00,0,0,2480
2023-01-10 00:00:00,0,0,2355
